KURTOSIS

SC6:	[1091.64891658]
SC7:	[1051.11136901]
SC8:	[1242.78793339]
SC9:	[1497.34872459]
SC10:	[1474.48129921]
SC11:	[1300.77295365]
SC12:	[1180.55988728]
SC13:	[1075.1602581]
SC14:	[1009.82398054]
SC15:	[994.51539928]
SC16:	[1009.39231906]
SC17:	[1025.38095153]
SC18:	[1006.19515176]
SC19:	[939.52156251]
SC20:	[859.9324581]
SC21:	[764.93870737]
SC22:	[673.93615278]
SC23:	[612.03726471]
SC24:	[589.99411985]
SC25:	[586.69997457]
SC26:	[579.34762816]
SC27:	[530.03425963]
SC28:	[441.95148147]
SC29:	[337.17198098]
SC30:	[244.30193674]
SC31:	[171.3553472]
SC32:	[126.12394538]
SC33:	[100.80338148]
SC34:	[87.17889204]
SC35:	[78.59339195]
SC36:	[70.18946354]
SC37:	[61.1867143]
SC38:	[52.61103438]
SC39:	[45.94691188]
SC40:	[41.65727997]
SC41:	[41.01535879]
SC42:	[45.49634416]
SC43:	[57.98023373]
SC44:	[82.1214466]
SC45:	[121.59927602]
SC46:	[175.46827336]
SC47:	[232.63507496]
SC48:	[281.46084243]
SC49:	[311.65927788]
SC50:	[331.24650604]
SC51:	[333.81800685]
SC52:	[334.15487675]
SC53:	[309.13628484]
SC54:	[247.97199231]
SC55:	[142.88599873]
SC56:	[67.92639942]
SC57:	[33.59752415]
SC58:	[21.86449344]
SC59:	[19.96175813]
SC60:	[24.11445346]
SC61:	[32.62426967]
SC62:	[45.27257339]
SC63:	[58.62470652]
SC64:	[70.93619697]
SC65:	[79.10640674]
SC66:	[83.11628979]
SC67:	[79.56146799]
SC68:	[70.72780263]
SC69:	[57.94498327]
SC70:	[45.44691264]
SC71:	[35.175009]
SC72:	[27.71352092]
SC73:	[22.57368628]
SC74:	[19.05224875]
SC75:	[16.3808571]
SC76:	[13.98942304]
SC77:	[11.893317]
SC78:	[10.08744029]
SC79:	[8.57499058]
SC80:	[7.50735313]
SC81:	[6.65209657]
SC82:	[5.91983399]
SC83:	[5.27211172]
SC84:	[4.73426851]
SC85:	[4.24203532]
SC86:	[3.89673734]
SC87:	[3.66552794]
SC88:	[3.27675514]
SC89:	[2.735955]
SC90:	[1.90751397]
SC91:	[0.83804217]
SC92:	[-0.28726712]
SC93:	[-1.34543324]
SC94:	[-2.13966159]
SC95:	[-2.65261572]
SC96:	[-2.89658694]
SC97:	[-2.97874232]
SC98:	[-2.98499657]
SC99:	[-2.95767723]
SC100:	[-2.91016355]
SC101:	[-2.78809308]
SC102:	[-2.49853994]
SC103:	[-1.96367517]
SC104:	[-1.04667975]
SC105:	[0.22751611]
SC106:	[1.65548112]
SC107:	[2.65968278]
SC108:	[2.97373883]
SC109:	[2.54803299]
SC110:	[1.9742632]
SC111:	[1.62448823]
SC112:	[1.89490685]
SC113:	[2.81548493]
SC114:	[4.39825521]
SC115:	[6.24852842]
SC116:	[8.08169367]
SC117:	[9.26385523]
SC118:	[9.48834249]
SC119:	[8.46593088]
SC120:	[7.01784875]
SC121:	[5.40847065]
SC122:	[4.18342147]
SC123:	[3.12735424]
SC124:	[2.28216431]
SC125:	[1.42016118]
SC126:	[0.46947209]
SC130:	[-2.68487566]
SC131:	[-2.91324798]
SC132:	[-2.98542489]
SC133:	[-2.99796978]
SC134:	[-2.9926909]
SC135:	[-2.94900953]
SC136:	[-2.85104612]
SC137:	[-2.69712956]
SC138:	[-2.46009132]
SC139:	[-2.10692153]
SC140:	[-1.59540425]
SC141:	[-0.90703863]
SC142:	[-0.02830239]
SC143:	[0.84068764]
SC144:	[1.5508106]
SC145:	[1.96514384]
SC146:	[2.21088133]
SC147:	[2.33762978]
SC148:	[2.56244349]
SC149:	[2.98632156]
SC150:	[3.77134692]
SC151:	[5.14773315]
SC152:	[7.60423747]
SC153:	[11.97481303]
SC154:	[19.02335475]
SC155:	[28.57498852]
SC156:	[38.44301028]
SC157:	[46.36372156]
SC158:	[51.98204358]
SC159:	[55.15257795]
SC160:	[57.3045716]
SC161:	[57.66819323]
SC162:	[59.11989469]
SC163:	[59.72573021]
SC164:	[61.25518202]
SC165:	[61.14434166]
SC166:	[60.91516181]
SC167:	[59.56120651]
SC168:	[58.2389092]
SC169:	[56.21613511]
SC170:	[53.8377696]
SC171:	[50.02443604]
SC172:	[45.99146974]
SC173:	[40.87475504]
SC174:	[36.13406685]
SC175:	[29.95916041]
SC176:	[23.89018304]
SC177:	[17.59779591]
SC178:	[12.09599384]
SC179:	[7.70825233]
SC180:	[4.81920683]
SC181:	[3.32476695]
SC182:	[3.30307733]
SC183:	[5.22280538]
SC184:	[10.71295814]
SC185:	[22.47263716]
SC186:	[44.15114302]
SC187:	[74.79294829]
SC188:	[112.53453722]
SC189:	[142.39143422]
SC190:	[160.93546942]
SC191:	[160.14308814]
SC192:	[154.6663794]
SC193:	[148.44309376]
SC194:	[151.42613073]
SC195:	[164.91772774]
SC196:	[191.82696913]
SC197:	[219.68005098]
SC198:	[240.57906216]
SC199:	[240.35627178]
SC200:	[222.45386932]
SC201:	[181.96959665]
SC202:	[128.30606357]
SC203:	[77.8814036]
SC204:	[44.08922433]
SC205:	[23.10976642]
SC206:	[11.55252189]
SC207:	[4.95081146]
SC208:	[1.19218821]
SC209:	[-0.9138424]
SC210:	[-2.03225399]
SC211:	[-2.57719278]
SC212:	[-2.82756489]
SC213:	[-2.92951148]
SC214:	[-2.96121843]
SC215:	[-2.93706323]
SC216:	[-2.6968174]
SC217:	[-2.61559287]
SC218:	[-2.83517883]
SC219:	[-2.90959059]
SC220:	[-2.94056862]
SC221:	[-2.96015845]
SC222:	[-2.97355092]
SC223:	[-2.97852479]
SC224:	[-2.97595387]
SC225:	[-2.95294845]
SC226:	[-2.84870863]
SC227:	[-2.54396982]
SC228:	[-2.08468527]
SC229:	[-1.65565657]
SC230:	[-1.3827917]
SC231:	[-1.13545769]
SC232:	[-0.79370424]
SC233:	[-0.1977411]
SC234:	[0.73219314]
SC235:	[2.24168573]
SC236:	[4.5284512]
SC237:	[7.55435834]
SC238:	[11.538532]
SC239:	[16.03973596]
SC240:	[20.2190964]
SC241:	[23.34561204]
SC242:	[24.76304379]
SC243:	[25.21180717]
SC244:	[25.65589196]
SC245:	[27.09279586]
SC246:	[28.91438893]
SC247:	[31.16861788]
SC248:	[31.59625976]
SC249:	[33.4827918]
SC250:	[23.98810779]
