VARIANCE

SC6:	[696.06208262]
SC7:	[763.15263452]
SC8:	[836.6771839]
SC9:	[912.4340021]
SC10:	[979.164968]
SC11:	[1032.15801214]
SC12:	[1053.78662818]
SC13:	[1059.78324823]
SC14:	[1054.97530994]
SC15:	[1055.39618409]
SC16:	[1053.74786311]
SC17:	[1062.15168563]
SC18:	[1069.4957107]
SC19:	[1090.27755641]
SC20:	[1108.30519374]
SC21:	[1125.78563329]
SC22:	[1136.9827621]
SC23:	[1151.16815723]
SC24:	[1162.9627068]
SC25:	[1165.58120946]
SC26:	[1150.5008875]
SC27:	[1122.74012059]
SC28:	[1071.35615721]
SC29:	[1005.89304896]
SC30:	[939.06579906]
SC31:	[887.11597519]
SC32:	[858.02022218]
SC33:	[861.24091495]
SC34:	[892.19604947]
SC35:	[944.21221257]
SC36:	[1000.18630162]
SC37:	[1043.7041702]
SC38:	[1062.19532407]
SC39:	[1061.74746262]
SC40:	[1035.30398741]
SC41:	[996.69211432]
SC42:	[956.35269785]
SC43:	[927.42394775]
SC44:	[906.82165561]
SC45:	[896.06894428]
SC46:	[889.11659884]
SC47:	[888.09840071]
SC48:	[873.90539776]
SC49:	[844.70977605]
SC50:	[795.176423]
SC51:	[733.15907577]
SC52:	[661.58644203]
SC53:	[586.84447838]
SC54:	[512.93190374]
SC55:	[452.53609218]
SC56:	[407.88967575]
SC57:	[386.11853633]
SC58:	[387.88090964]
SC59:	[419.93234243]
SC60:	[476.52618655]
SC61:	[552.70778037]
SC62:	[639.26188618]
SC63:	[725.19122822]
SC64:	[801.18323021]
SC65:	[847.75891565]
SC66:	[869.85627683]
SC67:	[865.36688955]
SC68:	[838.40289834]
SC69:	[796.72483555]
SC70:	[746.40061095]
SC71:	[701.44193502]
SC72:	[653.92743397]
SC73:	[608.38743429]
SC74:	[560.54541165]
SC75:	[514.20795104]
SC76:	[464.85758039]
SC77:	[419.32909471]
SC78:	[381.43456795]
SC79:	[352.40376345]
SC80:	[331.48548854]
SC81:	[317.76219376]
SC82:	[308.28894237]
SC83:	[305.41625609]
SC84:	[305.04907447]
SC85:	[306.96441031]
SC86:	[311.65745074]
SC87:	[318.55759988]
SC88:	[323.31499124]
SC89:	[321.67638402]
SC90:	[307.88793104]
SC91:	[281.10834398]
SC92:	[240.44126232]
SC93:	[189.35093152]
SC94:	[135.70749029]
SC95:	[85.1110631]
SC96:	[45.09153854]
SC97:	[18.83189869]
SC98:	[8.09461248]
SC99:	[8.60569905]
SC100:	[17.29681624]
SC101:	[31.63021869]
SC102:	[49.56284072]
SC103:	[69.45934859]
SC104:	[89.96558257]
SC105:	[109.76499611]
SC106:	[126.82048146]
SC107:	[139.71194182]
SC108:	[147.83169699]
SC109:	[151.74569796]
SC110:	[155.25563556]
SC111:	[164.432313]
SC112:	[180.79155287]
SC113:	[205.56667997]
SC114:	[235.60371218]
SC115:	[265.93004158]
SC116:	[291.13329495]
SC117:	[305.31440237]
SC118:	[305.11572665]
SC119:	[295.93190629]
SC120:	[280.65498999]
SC121:	[264.50448021]
SC122:	[248.75443364]
SC123:	[236.439504]
SC124:	[222.38151563]
SC125:	[203.67529237]
SC126:	[179.25654767]
SC130:	[50.81972224]
SC131:	[27.88034222]
SC132:	[12.76720172]
SC133:	[5.4423082]
SC134:	[6.42427455]
SC135:	[12.36146615]
SC136:	[22.13200802]
SC137:	[35.29956357]
SC138:	[51.08907822]
SC139:	[68.71436547]
SC140:	[86.41751504]
SC141:	[103.29086137]
SC142:	[118.91715684]
SC143:	[132.93525883]
SC144:	[145.37997812]
SC145:	[156.96273894]
SC146:	[168.40382037]
SC147:	[180.65852525]
SC148:	[192.61577734]
SC149:	[202.2132614]
SC150:	[209.52927257]
SC151:	[214.87184253]
SC152:	[219.40722245]
SC153:	[226.10283354]
SC154:	[237.4404511]
SC155:	[257.91502744]
SC156:	[286.47651456]
SC157:	[321.10156681]
SC158:	[359.38126711]
SC159:	[395.54668645]
SC160:	[425.89861918]
SC161:	[447.0459537]
SC162:	[460.38533519]
SC163:	[467.58054875]
SC164:	[474.34613337]
SC165:	[481.91507881]
SC166:	[491.63285144]
SC167:	[505.25093587]
SC168:	[515.6456434]
SC169:	[520.22803976]
SC170:	[515.55094991]
SC171:	[501.70456228]
SC172:	[478.94018836]
SC173:	[450.31655407]
SC174:	[420.33485484]
SC175:	[394.72888185]
SC176:	[369.50911914]
SC177:	[344.23636182]
SC178:	[317.00637334]
SC179:	[288.8085245]
SC180:	[261.80927468]
SC181:	[239.82212937]
SC182:	[226.03403129]
SC183:	[227.09565664]
SC184:	[242.00241837]
SC185:	[269.29399805]
SC186:	[301.5864595]
SC187:	[337.72463617]
SC188:	[369.67370477]
SC189:	[394.53371375]
SC190:	[411.87409932]
SC191:	[424.17209125]
SC192:	[434.17953484]
SC193:	[439.29332667]
SC194:	[445.16580054]
SC195:	[452.18081967]
SC196:	[458.01827306]
SC197:	[462.07550856]
SC198:	[460.54031061]
SC199:	[457.74731333]
SC200:	[445.64251269]
SC201:	[425.93137439]
SC202:	[397.1109452]
SC203:	[363.16041923]
SC204:	[320.83237098]
SC205:	[276.75127344]
SC206:	[232.9645547]
SC207:	[191.92310715]
SC208:	[153.53189925]
SC209:	[119.74849926]
SC210:	[89.41036236]
SC211:	[64.90190431]
SC212:	[44.25275704]
SC213:	[28.4711956]
SC214:	[17.91705324]
SC215:	[12.84871657]
SC216:	[11.74500021]
SC217:	[12.77540948]
SC218:	[14.53533907]
SC219:	[15.90724274]
SC220:	[15.98623605]
SC221:	[14.44138857]
SC222:	[11.8630262]
SC223:	[9.42547715]
SC224:	[7.98120725]
SC225:	[8.27359109]
SC226:	[10.60925779]
SC227:	[14.87085369]
SC228:	[20.74458083]
SC229:	[27.76313204]
SC230:	[35.57220789]
SC231:	[44.69515608]
SC232:	[55.23767492]
SC233:	[67.66917956]
SC234:	[82.31826279]
SC235:	[99.14686319]
SC236:	[117.14349337]
SC237:	[135.5449075]
SC238:	[153.6503853]
SC239:	[172.09026812]
SC240:	[187.88962376]
SC241:	[201.21922091]
SC242:	[210.09753427]
SC243:	[215.18761766]
SC244:	[214.58379435]
SC245:	[208.65052125]
SC246:	[196.01552684]
SC247:	[181.80474389]
SC248:	[167.94307392]
SC249:	[157.3127605]
SC250:	[149.62753824]
